Rk,Conference,Schs,G,W,L,Pct,Bowls G,Bowls W,Bowls L,Bowl Pct,SRS,SOS,Pre,Final,Champion
1,Southeastern Conference,14,182,113,69,.621,12,6,6,.500,10.70,5.56,5,0,
2,Big 12 Conference,10,128,72,56,.563,7,4,3,.571,6.52,4.07,4,0,
3,Big Ten Conference,14,179,97,82,.542,9,5,4,.556,6.16,4.42,5,0,
4,Atlantic Coast Conference,14,180,100,80,.556,11,6,5,.545,4.59,2.74,4,0,
5,Pacific-12 Conference,12,153,82,71,.536,7,3,4,.429,3.53,2.16,4,0,
6,Independent,6,75,43,32,.573,3,2,1,.667,-1.67,-2.47,1,0,
7,American Athletic Conference,12,153,76,77,.497,7,2,5,.286,-2.71,-2.63,1,0,
8,Mountain West Conference,12,152,78,74,.513,5,3,2,.600,-2.72,-3.02,1,0,
9,Sun Belt Conference,10,126,65,61,.516,5,3,2,.600,-4.21,-4.07,0,0,
10,Mid-American Conference,12,152,68,84,.447,6,1,5,.167,-5.95,-3.95,0,0,
11,Conference USA,14,176,83,93,.472,6,4,2,.667,-7.22,-5.83,0,0,
